texts,intents
what movies did Victor Schertzinger direct?,"director_to_movie
"
Michael Wadleigh directed which movies?,"director_to_movie
"
what did Andrew Drazek direct?,"director_to_movie
"
Evan Goldberg directed which movies?,"director_to_movie
"
which films did Shirish Kunder direct?,"director_to_movie
"
Erick Zonca was the director of which films?,"director_to_movie
"
Margarethe von Trotta directed which films?,"director_to_movie
"
Gary Ross was the director of which movies?,"director_to_movie
"
which films did Leopold Jessner direct?,"director_to_movie
"
which movie was Scott Reynolds the director for?,"director_to_movie
"
what movies did Mark Kitchell direct?,"director_to_movie
"
which movies did Daryl Duke direct?,"director_to_movie
"
what movies did Tony Cookson direct?,"director_to_movie
"
Trish Doolan directed which films?,"director_to_movie
"
Martin Koolhoven was the director of which films?,"director_to_movie
"
what is a film directed by Adrian Shergold?,"director_to_movie
"
Paul Wright directed which films?,"director_to_movie
"
SÃ¶nke Wortmann directed which movies?,"director_to_movie
"
which films did BenoÃ®t Jacquot direct?,"director_to_movie
"
Bernard L. Kowalski directed which films?,"director_to_movie
"
which films did Mike De Leon direct?,"director_to_movie
"
what films did Benedek Fliegauf direct?,"director_to_movie
"
Pietro Germi was the director of which movies?,"director_to_movie
"
Chris Graham was the director of which movies?,"director_to_movie
"
which movie was Allen Coulter the director for?,"director_to_movie
"
which movie was Shane Abbess the director for?,"director_to_movie
"
which movie was Greydon Clark the director for?,"director_to_movie
"
which films did Jack Baran direct?,"director_to_movie
"
Robert Stone directed which movies?,"director_to_movie
"
which movie was Leslye Headland the director for?,"director_to_movie
"
what films did Benny Chan direct?,"director_to_movie
"
what is a film directed by Khyentse Norbu?,"director_to_movie
"
Ryan Murphy was the director of which movies?,"director_to_movie
"
what was Arild FrÃ¶hlich the director of?,"director_to_movie
"
can you name a film directed by Sam Firstenberg?,"director_to_movie
"
Howard Zieff was the director of which films?,"director_to_movie
"
what did Alexander Holt direct?,"director_to_movie
"
what is a film directed by RenÃ©e Taylor?,"director_to_movie
"
what films did Amy Seimetz direct?,"director_to_movie
"
which films did J Blakeson direct?,"director_to_movie
"
what films did Marc Connelly direct?,"director_to_movie
"
Illeana Douglas was the director of which films?,"director_to_movie
"
what was Teinosuke Kinugasa the director of?,"director_to_movie
"
Rick Reinert directed which movies?,"director_to_movie
"
what films did Brian Dannelly direct?,"director_to_movie
"
what was Mike Johnson the director of?,"director_to_movie
"
what is a film directed by Martin Davidson?,"director_to_movie
"
William Wyler was the director of which movies?,"director_to_movie
"
which movies did Sarah Smith direct?,"director_to_movie
"
Terry Green was the director of which movies?,"director_to_movie
"
what was Justin Zackham the director of?,"director_to_movie
"
Jennifer Siebel Newsom was the director of which movies?,"director_to_movie
"
which films did F. Gary Gray direct?,"director_to_movie
"
Chester Erskine directed which films?,"director_to_movie
"
Julie Gavras was the director of which movies?,"director_to_movie
"
what was Troy Nixey the director of?,"director_to_movie
"
what is a film directed by Gene Saks?,"director_to_movie
"
can you name a film directed by Mel Stuart?,"director_to_movie
"
what is a film directed by RyÃ»hei Kitamura?,"director_to_movie
"
what movies did Luis Mandoki direct?,"director_to_movie
"
which movies did Rupert Wyatt direct?,"director_to_movie
"
what is a film directed by Stephen King?,"director_to_movie
"
which films did Panna Rittikrai direct?,"director_to_movie
"
what films did George Schaefer direct?,"director_to_movie
"
George Melford was the director of which films?,"director_to_movie
"
what movies did John Madden direct?,"director_to_movie
"
what did Nancy Savoca direct?,"director_to_movie
"
what films did Amma Asante direct?,"director_to_movie
"
what is a film directed by Russell Mulcahy?,"director_to_movie
"
Sticky Fingaz was the director on which movies?,"director_to_movie
"
what is a film directed by Sean Branney?,"director_to_movie
"
which films did Gen Sekiguchi direct?,"director_to_movie
"
which films did Stacy Cochran direct?,"director_to_movie
"
which movie was John McKay the director for?,"director_to_movie
"
what did Daniel Algrant direct?,"director_to_movie
"
Dean Parisot was the director of which films?,"director_to_movie
"
which films did Fred Durst direct?,"director_to_movie
"
which movie was Chris Noonan the director for?,"director_to_movie
"
what is a film directed by Robert Lorenz?,"director_to_movie
"
what films did Christian E. Christiansen direct?,"director_to_movie
"
what was Robert Clouse the director of?,"director_to_movie
"
can you name a film directed by Ken Shapiro?,"director_to_movie
"
Christian Petzold directed which movies?,"director_to_movie
"
what was Mark Tarlov the director of?,"director_to_movie
"
which films did Caveh Zahedi direct?,"director_to_movie
"
Nick Whitfield was the director of which films?,"director_to_movie
"
what did Annabel Jankel direct?,"director_to_movie
"
which films did Philip Goodhew direct?,"director_to_movie
"
which films did Adam Green direct?,"director_to_movie
"
what was Tony Vitale the director of?,"director_to_movie
"
CÃ©dric Klapisch was the director on which movies?,"director_to_movie
"
what was Vincent Paronnaud the director of?,"director_to_movie
"
Nikolaj Arcel was the director on which movies?,"director_to_movie
"
what was Jeff Nichols the director of?,"director_to_movie
"
what films did Steve Beck direct?,"director_to_movie
"
which movie was Tommi Lepola the director for?,"director_to_movie
"
Richard Compton was the director of which movies?,"director_to_movie
"
what films did David Greenwalt direct?,"director_to_movie
"
can you name a film directed by R.W. Goodwin?,"director_to_movie
"
which movie was Al Corley the director for?,"director_to_movie
"
which films did Lawrence Blume direct?,"director_to_movie
"
which films did Fabrice Gobert direct?,"director_to_movie
"
Mike Flanagan was the director of which films?,"director_to_movie
"
Simon Ellis directed which films?,"director_to_movie
"
Rob Hedden was the director on which movies?,"director_to_movie
"
which movie was Michael Addis the director for?,"director_to_movie
"
which films did Glenn Gaylord direct?,"director_to_movie
"
which movies did Laetitia Colombani direct?,"director_to_movie
"
what was Billy Kent the director of?,"director_to_movie
"
which movies did Robert Zemeckis direct?,"director_to_movie
"
which movies did Vincent Ward direct?,"director_to_movie
"
can you name a film directed by Martin Hynes?,"director_to_movie
"
what films did David Twohy direct?,"director_to_movie
"
what is a film directed by Glenn Tryon?,"director_to_movie
"
Simon Wincer was the director on which movies?,"director_to_movie
"
Doris Wishman was the director on which movies?,"director_to_movie
"
which movie was Adrienne Shelly the director for?,"director_to_movie
"
what movies did Jean de Limur direct?,"director_to_movie
"
which movie was Augusto Caminito the director for?,"director_to_movie
"
which films did Lech Majewski direct?,"director_to_movie
"
what is a film directed by Kenji Mizoguchi?,"director_to_movie
"
what is a film directed by Klaus Kinski?,"director_to_movie
"
what films did Lynn Roth direct?,"director_to_movie
"
what did Jack Couffer direct?,"director_to_movie
"
Douglas Sirk was the director of which movies?,"director_to_movie
"
which films did Delphine Gleize direct?,"director_to_movie
"
what did Laurent Cantet direct?,"director_to_movie
"
which films did David Kendall direct?,"director_to_movie
"
Arnaud Larrieu directed which movies?,"director_to_movie
"
Rintaro directed which films?,"director_to_movie
"
which movie was Alfonso Brescia the director for?,"director_to_movie
"
what is a film directed by Paul Feig?,"director_to_movie
"
Ralph Bakshi directed which films?,"director_to_movie
"
Ron Judkins was the director of which movies?,"director_to_movie
"
what was Matthieu Delaporte the director of?,"director_to_movie
"
which films did Stephen Gaghan direct?,"director_to_movie
"
Baillie Walsh directed which films?,"director_to_movie
"
which films did Maximilian Schell direct?,"director_to_movie
"
which films did Victor Salva direct?,"director_to_movie
"
Anders Anderson was the director of which movies?,"director_to_movie
"
which movies did Tony Ayres direct?,"director_to_movie
"
can you name a film directed by Alex Rivera?,"director_to_movie
"
which films did Don E. FauntLeRoy direct?,"director_to_movie
"
what was John Ford the director of?,"director_to_movie
"
which movies did Colin Trevorrow direct?,"director_to_movie
"
Josef von Sternberg directed which movies?,"director_to_movie
"
which movie was Kevin Tancharoen the director for?,"director_to_movie
"
which films did William S. Hart direct?,"director_to_movie
"
which movies did Rupert Harvey direct?,"director_to_movie
"
what did RenÃ© Goscinny direct?,"director_to_movie
"
which films did Julian Schnabel direct?,"director_to_movie
"
what films did John Huston direct?,"director_to_movie
"
which films did Samantha Lang direct?,"director_to_movie
"
can you name a film directed by Lisa Aschan?,"director_to_movie
"
which films did Robert De Niro direct?,"director_to_movie
"
which films did Alexandre de La PatelliÃ¨re direct?,"director_to_movie
"
which movie was George Marshall the director for?,"director_to_movie
"
what was Ham Tran the director of?,"director_to_movie
"
what did Jennifer Abbott direct?,"director_to_movie
"
what films did Craig Gillespie direct?,"director_to_movie
"
what is a film directed by Ritwik Ghatak?,"director_to_movie
"
which movies did GÃ©rard Depardieu direct?,"director_to_movie
"
Anders Thomas Jensen was the director on which movies?,"director_to_movie
"
what films did Alexandre Franchi direct?,"director_to_movie
"
Harry L. Fraser directed which movies?,"director_to_movie
"
which films did Jonas Barnes direct?,"director_to_movie
"
which movies did Michel Comte direct?,"director_to_movie
"
Jan de Bont was the director of which movies?,"director_to_movie
"
John Hillcoat was the director of which films?,"director_to_movie
"
Wash Westmoreland directed which films?,"director_to_movie
"
which films did Phillip Borsos direct?,"director_to_movie
"
what films did Dennis Hopper direct?,"director_to_movie
"
which films did Peter H. Hunt direct?,"director_to_movie
"
which movie was Dez Vylenz the director for?,"director_to_movie
"
what was David Pastor the director of?,"director_to_movie
"
Tewfik Saleh was the director of which films?,"director_to_movie
"
what films did Leslie Stevens direct?,"director_to_movie
"
what films did James Bai direct?,"director_to_movie
"
what did Hadi Hajaig direct?,"director_to_movie
"
what is a film directed by Gary Rosen?,"director_to_movie
"
what is a film directed by Ian Iqbal Rashid?,"director_to_movie
"
which films did Gavin Wilding direct?,"director_to_movie
"
what is a film directed by Mary Agnes Donoghue?,"director_to_movie
"
what films did Louise Archambault direct?,"director_to_movie
"
Bill Douglas was the director of which movies?,"director_to_movie
"
which movies did Walter Hill direct?,"director_to_movie
"
which films did Jens Lien direct?,"director_to_movie
"
can you name a film directed by Gina Kim?,"director_to_movie
"
Brett Donowho directed which movies?,"director_to_movie
"
what is a film directed by Chris Atkins?,"director_to_movie
"
which films did Walter Doniger direct?,"director_to_movie
"
Julie Delpy was the director of which films?,"director_to_movie
"
what is a film directed by Jill Culton?,"director_to_movie
"
what did Patricia Birch direct?,"director_to_movie
"
what films did Morton DaCosta direct?,"director_to_movie
"
Til Schweiger was the director on which movies?,"director_to_movie
"
what did Martin Bell direct?,"director_to_movie
"
what was Otar Iosseliani the director of?,"director_to_movie
"
can you name a film directed by Stuart Townsend?,"director_to_movie
"
what films did Elissa Down direct?,"director_to_movie
"
Rodrigo SopeÃ±a was the director of which films?,"director_to_movie
"
what did Frederick De Cordova direct?,"director_to_movie
"
Charles Marquis Warren was the director on which movies?,"director_to_movie
"
can you name a film directed by Paul Soter?,"director_to_movie
"
Cliff Owen directed which movies?,"director_to_movie
"
what films did George Butler direct?,"director_to_movie
"
Luke Wilson was the director of which movies?,"director_to_movie
"
which movie was Jean Negulesco the director for?,"director_to_movie
"
Zale Dalen directed which films?,"director_to_movie
"
which movie was Erle C. Kenton the director for?,"director_to_movie
"
Nils Gaup was the director of which movies?,"director_to_movie
"
what films did Rolfe Kanefsky direct?,"director_to_movie
"
Sebastian Gutierrez was the director of which movies?,"director_to_movie
"
what films did Lauren Montgomery direct?,"director_to_movie
"
Rosanna Arquette was the director of which movies?,"director_to_movie
"
Robert Stromberg was the director of which films?,"director_to_movie
"
what films did David Keith direct?,"director_to_movie
"
Jeff Baena was the director of which films?,"director_to_movie
"
which movies did Callie Khouri direct?,"director_to_movie
"
Ahmed Imamovic was the director of which films?,"director_to_movie
"
which films did Franco Amurri direct?,"director_to_movie
"
Kelly Makin directed which movies?,"director_to_movie
"
what films did Bigas Luna direct?,"director_to_movie
"
what did David Leitch direct?,"director_to_movie
"
what films did Geoffrey Sax direct?,"director_to_movie
"
can you name a film directed by Nicholas Mastandrea?,"director_to_movie
"
what films did Mike Leigh direct?,"director_to_movie
"
what is a film directed by Daniel Myrick?,"director_to_movie
"
which films did Theodoros Angelopoulos direct?,"director_to_movie
"
Fina Torres directed which movies?,"director_to_movie
"
which movie was Famke Janssen the director for?,"director_to_movie
"
which movies did Johannes Weiland direct?,"director_to_movie
"
Carlton J. Albright directed which movies?,"director_to_movie
"
Glen Pitre directed which films?,"director_to_movie
"
which movie was Jamie Linden the director for?,"director_to_movie
"
what was Roy Huggins the director of?,"director_to_movie
"
which films did Willis Goldbeck direct?,"director_to_movie
"
what is a film directed by Bernie Goldmann?,"director_to_movie
"
John Berry directed which films?,"director_to_movie
"
what is a film directed by Peter Hyams?,"director_to_movie
"
Boudewijn Koole directed which movies?,"director_to_movie
"
Mario Andreacchio was the director on which movies?,"director_to_movie
"
Masayuki Ochiai was the director of which movies?,"director_to_movie
"
can you name a film directed by FÃ©lix EnrÃ­quez AlcalÃ¡?,"director_to_movie
"
Graham Annable was the director on which movies?,"director_to_movie
"
can you name a film directed by Fernando Di Leo?,"director_to_movie
"
which films did Andrucha Waddington direct?,"director_to_movie
"
Maurice Elvey was the director on which movies?,"director_to_movie
"
Philipp StÃ¶lzl directed which films?,"director_to_movie
"
what was Damion Dietz the director of?,"director_to_movie
"
what did Mark Dindal direct?,"director_to_movie
"
can you name a film directed by Martine Dugowson?,"director_to_movie
"
Goldie Behl directed which movies?,"director_to_movie
"
Marshall Lewy was the director of which films?,"director_to_movie
"
Sante D'Orazio was the director of which movies?,"director_to_movie
"
what films did Thomas Arslan direct?,"director_to_movie
"
what was Erik Van Looy the director of?,"director_to_movie
"
what did Edward Dein direct?,"director_to_movie
"
which movies did Albert Pyun direct?,"director_to_movie
"
which movies did Donal Lardner Ward direct?,"director_to_movie
"
GÃ¶ran Olsson was the director of which movies?,"director_to_movie
"
Anders Morgenthaler was the director on which movies?,"director_to_movie
"
what films did Edgar Selwyn direct?,"director_to_movie
"
Marc Rocco directed which movies?,"director_to_movie
"
John Farrow was the director of which films?,"director_to_movie
"
which films did Tod Williams direct?,"director_to_movie
"
what did Cameron Crowe direct?,"director_to_movie
"
what did Ken Wiederhorn direct?,"director_to_movie
"
what did Elia Suleiman direct?,"director_to_movie
"
what films did Dylan Kidd direct?,"director_to_movie
"
which films did Douglas Hickox direct?,"director_to_movie
"
what movies did Akira Inoue direct?,"director_to_movie
"
what is a film directed by Neil Thompson?,"director_to_movie
"
which films did Colin Teague direct?,"director_to_movie
"
what was Paul Mariano the director of?,"director_to_movie
"
which movie was Gabriela Pichler the director for?,"director_to_movie
"
what is a film directed by Doze Niu?,"director_to_movie
"
what is a film directed by Frank Perry?,"director_to_movie
"
can you name a film directed by Bud Yorkin?,"director_to_movie
"
which films did Barry Skolnick direct?,"director_to_movie
"
Nicholas Hytner directed which movies?,"director_to_movie
"
Charlie Nguyen directed which movies?,"director_to_movie
"
what was Ivan Dixon the director of?,"director_to_movie
"
Spike Jonze directed which movies?,"director_to_movie
"
Richard Clabaugh directed which movies?,"director_to_movie
"
Geoff Burrowes was the director of which films?,"director_to_movie
"
can you name a film directed by Nick Hamm?,"director_to_movie
"
David Zellner was the director of which movies?,"director_to_movie
"
what was Julien Duvivier the director of?,"director_to_movie
"
Ben Sombogaart was the director on which movies?,"director_to_movie
"
which movie was Roger Michell the director for?,"director_to_movie
"
can you name a film directed by Jerzy Skolimowski?,"director_to_movie
"
which movies did Ben Sharpsteen direct?,"director_to_movie
"
can you name a film directed by Jordan Melamed?,"director_to_movie
"
which movie was Lance Mungia the director for?,"director_to_movie
"
Robert Redford was the director on which movies?,"director_to_movie
"
what was Sol Tryon the director of?,"director_to_movie
"
what is a film directed by William Mesa?,"director_to_movie
"
what films did Norman Foster direct?,"director_to_movie
"
which films did JenÃ©e LaMarque direct?,"director_to_movie
"
which films did Ermanno Olmi direct?,"director_to_movie
"
what is a film directed by Frank Popper?,"director_to_movie
"
what is a film directed by Nobuhiro Suwa?,"director_to_movie
"
John Tatoulis directed which movies?,"director_to_movie
"
what was James Keach the director of?,"director_to_movie
"
which films did Sergio Leone direct?,"director_to_movie
"
Eli Roth was the director on which movies?,"director_to_movie
"
which films did Paul Turner direct?,"director_to_movie
"
which movie was Jim McBride the director for?,"director_to_movie
"
which movie was Paul Weitz the director for?,"director_to_movie
"
what was Mikio Naruse the director of?,"director_to_movie
"
Theodore Witcher directed which films?,"director_to_movie
"
which films did Clark Gregg direct?,"director_to_movie
"
J. Lee Thompson directed which films?,"director_to_movie
"
Jamie Babbit was the director of which movies?,"director_to_movie
"
Elliott Hong directed which movies?,"director_to_movie
"
what was Kevin Brownlow the director of?,"director_to_movie
"
Jim McCullough Sr. was the director on which movies?,"director_to_movie
"
Jennifer Lee directed which movies?,"director_to_movie
"
what was Sean Crotty the director of?,"director_to_movie
"
which films did Dallas Jenkins direct?,"director_to_movie
"
can you name a film directed by Victor Saville?,"director_to_movie
"
what films did Phillip Montgomery direct?,"director_to_movie
"
which movies did Mario Van Peebles direct?,"director_to_movie
"
can you name a film directed by Jeremiah S. Chechik?,"director_to_movie
"
which films did Tim Hamilton direct?,"director_to_movie
"
what was Philip Leacock the director of?,"director_to_movie
"
which films did GeneviÃ¨ve Robert direct?,"director_to_movie
"
Katrina Holden Bronson directed which films?,"director_to_movie
"
which films did SÃ©rgio Machado direct?,"director_to_movie
"
can you name a film directed by Ann Hu?,"director_to_movie
"
Cornel Wilde directed which films?,"director_to_movie
"
what was Michael Findlay the director of?,"director_to_movie
"
what is a film directed by JosÃ© Luis GuerÃ­n?,"director_to_movie
"
Mikael HÃ¥fstrÃ¶m directed which movies?,"director_to_movie
"
which movie was BenoÃ®t DelÃ©pine the director for?,"director_to_movie
"
which movie was Marco Bellocchio the director for?,"director_to_movie
"
what is a film directed by Saul Dibb?,"director_to_movie
"
Julia Leigh directed which films?,"director_to_movie
"
what is a film directed by David Salle?,"director_to_movie
"
what movies did Christina Yao direct?,"director_to_movie
"
what films did Will Zens direct?,"director_to_movie
"
what is a film directed by Pasi Kemmo?,"director_to_movie
"
Tony Mitchell directed which films?,"director_to_movie
"
Hiromasa Yonebayashi directed which films?,"director_to_movie
"
Tengiz Abuladze was the director of which films?,"director_to_movie
"
which films did Steven Hilliard Stern direct?,"director_to_movie
"
Theo Avgerinos was the director on which movies?,"director_to_movie
"
what did Jacques Deray direct?,"director_to_movie
"
Albert S. Rogell was the director of which movies?,"director_to_movie
"
can you name a film directed by Carine Adler?,"director_to_movie
"
Jonathan Parker was the director of which movies?,"director_to_movie
"
what films did Thaddeus O'Sullivan direct?,"director_to_movie
"
Stephen Sommers was the director of which movies?,"director_to_movie
"
which films did Reginald Hudlin direct?,"director_to_movie
"
Ewald AndrÃ© Dupont was the director of which films?,"director_to_movie
"
what was Michael Epstein the director of?,"director_to_movie
"
which movie was Joseph Cedar the director for?,"director_to_movie
"
what is a film directed by Benson Lee?,"director_to_movie
"
which movies did Robert Bierman direct?,"director_to_movie
"
what did Mel Welles direct?,"director_to_movie
"
what was Anjelica Huston the director of?,"director_to_movie
"
which films did Aldo Lado direct?,"director_to_movie
"
what films did Yuri Mamin direct?,"director_to_movie
"
which movies did Ã‰douard Molinaro direct?,"director_to_movie
"
which movies did William A. Wellman direct?,"director_to_movie
"
Diane Keaton was the director of which films?,"director_to_movie
"
Peter Manoogian directed which films?,"director_to_movie
"
which films did Julian Fellowes direct?,"director_to_movie
"
can you name a film directed by Dan Bradley?,"director_to_movie
"
Toshio Matsumoto directed which films?,"director_to_movie
"
Victor Ginzburg was the director of which films?,"director_to_movie
"
which films did Katerina Kitidi direct?,"director_to_movie
"
what movies did Richard Gale direct?,"director_to_movie
"
what did Don Scardino direct?,"director_to_movie
"
which films did David Kramarsky direct?,"director_to_movie
"
Dante Lam was the director of which movies?,"director_to_movie
"
which films did J. Robert Wagoner direct?,"director_to_movie
"
Stelvio Massi directed which films?,"director_to_movie
"
what did Giddens Ko direct?,"director_to_movie
"
Richard Ayoade directed which movies?,"director_to_movie
"
which movie was Jay Roach the director for?,"director_to_movie
"
Tim Johnson was the director of which films?,"director_to_movie
"
which movie was Kunal Kohli the director for?,"director_to_movie
"
what did Genndy Tartakovsky direct?,"director_to_movie
"
Richard Roxburgh directed which films?,"director_to_movie
"
what is a film directed by John Boorman?,"director_to_movie
"
what was Robert B. Bean the director of?,"director_to_movie
"
what did Burt Lancaster direct?,"director_to_movie
"
what films did Elliott Nugent direct?,"director_to_movie
"
what films did Douglas Buck direct?,"director_to_movie
"
which films did Malcolm Marmorstein direct?,"director_to_movie
"
Banmei Takahashi was the director of which movies?,"director_to_movie
"
which films did Ted Wilde direct?,"director_to_movie
"
Kenny Bee directed which films?,"director_to_movie
"
which films did Mike Disa direct?,"director_to_movie
"
Jacob Gentry was the director of which films?,"director_to_movie
"
what did Anthony Bushell direct?,"director_to_movie
"
which movie was Greg Pak the director for?,"director_to_movie
"
can you name a film directed by Joann Sfar?,"director_to_movie
"
Justin Lo directed which movies?,"director_to_movie
"
Scott Alexander directed which movies?,"director_to_movie
"
what did Matthew Robbins direct?,"director_to_movie
"
Peter Sollett directed which films?,"director_to_movie
"
Brad J. Silverman was the director of which movies?,"director_to_movie
"
can you name a film directed by Howard Bretherton?,"director_to_movie
"
which movie was Conrad Vernon the director for?,"director_to_movie
"
which films did Nanni Loy direct?,"director_to_movie
"
which films did Walter Lang direct?,"director_to_movie
"
can you name a film directed by John G. Adolfi?,"director_to_movie
"
what did Jeff Probst direct?,"director_to_movie
"
Josh C. Waller directed which movies?,"director_to_movie
"
what films did Robert Vincent O'Neill direct?,"director_to_movie
"
which films did Jeremy Kagan direct?,"director_to_movie
"
Michael Ian Black was the director of which movies?,"director_to_movie
"
Duccio Tessari was the director on which movies?,"director_to_movie
"
Amos Gitai directed which movies?,"director_to_movie
"
Nabil Ayouch was the director of which movies?,"director_to_movie
"
Alexander Hall directed which films?,"director_to_movie
"
what is a film directed by Tatia Rosenthal?,"director_to_movie
"
which movie was Simon Verhoeven the director for?,"director_to_movie
"
what did Jeanne Jordan direct?,"director_to_movie
"
what movies did Gregory Poirier direct?,"director_to_movie
"
what films did David Gumpel direct?,"director_to_movie
"
what is a film directed by Yannis Smaragdis?,"director_to_movie
"
what did Gianni Amelio direct?,"director_to_movie
"
Dominique Abel was the director of which movies?,"director_to_movie
"
which films did Philip Moeller direct?,"director_to_movie
"
which movies did Dan Gilroy direct?,"director_to_movie
"
what was Massy Tadjedin the director of?,"director_to_movie
"
what films did Brian Grant direct?,"director_to_movie
"
Farhan Akhtar directed which movies?,"director_to_movie
"
Daniel Stamm was the director on which movies?,"director_to_movie
"
can you name a film directed by Sean Anders?,"director_to_movie
"
which films did Mark Rappaport direct?,"director_to_movie
"
can you name a film directed by Sergei Loznitsa?,"director_to_movie
"
what films did Douglas Jackson direct?,"director_to_movie
"
Elmar Klos was the director of which films?,"director_to_movie
"
what is a film directed by Marcos Carnevale?,"director_to_movie
"
what films did Stephen Kessler direct?,"director_to_movie
"
which movie was Barry Sonnenfeld the director for?,"director_to_movie
"
which films did Babak Payami direct?,"director_to_movie
"
Kay Pollak was the director on which movies?,"director_to_movie
"
which movies did Chris Marker direct?,"director_to_movie
"
Matt Johnson directed which movies?,"director_to_movie
"
Jules Dassin was the director of which movies?,"director_to_movie
"
which films did Peter A. Dowling direct?,"director_to_movie
"
which films did Bibo Bergeron direct?,"director_to_movie
"
what films did John Frankenheimer direct?,"director_to_movie
"
what did Brian Desmond Hurst direct?,"director_to_movie
"
which films did Bill Condon direct?,"director_to_movie
"
can you name a film directed by Gordon Hessler?,"director_to_movie
"
what films did William Olsson direct?,"director_to_movie
"
which movies did FrÃ©dÃ©ric Fonteyne direct?,"director_to_movie
"
what movies did Michael Fengler direct?,"director_to_movie
"
what did Michael Cimino direct?,"director_to_movie
"
which films did Joe Lynch direct?,"director_to_movie
"
Charles Dance directed which movies?,"director_to_movie
"
which movies did Charlie Peters direct?,"director_to_movie
"
what did Sid Bennett direct?,"director_to_movie
"
what movies did Joshua Logan direct?,"director_to_movie
"
what was Brian Sloan the director of?,"director_to_movie
"
Jonathan Caouette was the director on which movies?,"director_to_movie
"
Henri Verneuil was the director of which films?,"director_to_movie
"
John Sturges directed which films?,"director_to_movie
"
which movies did Kristina LindstrÃ¶m direct?,"director_to_movie
"
what movies did Gabriele Muccino direct?,"director_to_movie
"
Jon Avnet was the director on which movies?,"director_to_movie
"
Clare Peploe directed which films?,"director_to_movie
"
what films did David R. Ellis direct?,"director_to_movie
"
what did Chris Brinker direct?,"director_to_movie
"
which films did Clif Prowse direct?,"director_to_movie
"
what films did Joseph Kosinski direct?,"director_to_movie
"
which films did Manuel Sicilia direct?,"director_to_movie
"
what did Stefan Avalos direct?,"director_to_movie
"
Stephen Weeks was the director of which films?,"director_to_movie
"
Brent McCorkle was the director of which movies?,"director_to_movie
"
Joe Ranft was the director on which movies?,"director_to_movie
"
StÃ©phane Aubier was the director of which movies?,"director_to_movie
"
what films did William A. Fraker direct?,"director_to_movie
"
what movies did John Polson direct?,"director_to_movie
"
which films did Buster Keaton direct?,"director_to_movie
"
can you name a film directed by James Edward Grant?,"director_to_movie
"
which movies did Fredi M. Murer direct?,"director_to_movie
"
what movies did Dana Ranga direct?,"director_to_movie
"
what movies did Tia Lessin direct?,"director_to_movie
"
what was Tony Goldwyn the director of?,"director_to_movie
"
can you name a film directed by Chandra Barot?,"director_to_movie
"
can you name a film directed by Fabrice EbouÃ©?,"director_to_movie
"
Hiroyuki Okiura was the director of which films?,"director_to_movie
"
what is a film directed by Victor SjÃ¶strÃ¶m?,"director_to_movie
"
Kirsten Sheridan was the director on which movies?,"director_to_movie
"
can you name a film directed by Duane Hopkins?,"director_to_movie
"
can you name a film directed by Mark Joffe?,"director_to_movie
"
William Monahan was the director of which films?,"director_to_movie
"
Ken Ghosh directed which films?,"director_to_movie
"
what did Frank Ryan direct?,"director_to_movie
"
which movie was Nicolas Entel the director for?,"director_to_movie
"
what was AdriÃ  GarcÃ­a the director of?,"director_to_movie
"
what is a film directed by Lionel Barrymore?,"director_to_movie
"
Gilbert Cates was the director on which movies?,"director_to_movie
"
what was Lindsay Anderson the director of?,"director_to_movie
"
which films did Paul Shapiro direct?,"director_to_movie
"
which movies did Kurt Norton direct?,"director_to_movie
"
Rodman Flender was the director of which movies?,"director_to_movie
"
what did Craig Singer direct?,"director_to_movie
"
who starred in Cemetery Man?,"movie_to_actors
"
who acted in Red River?,"movie_to_actors
"
who acted in Death of a Salesman?,"movie_to_actors
"
the movie Beyond the Lights starred who?,"movie_to_actors
"
who acted in Today You Die?,"movie_to_actors
"
the film West Is West starred which actors?,"movie_to_actors
"
who acted in Crime of Passion?,"movie_to_actors
"
who are the actors in The Double?,"movie_to_actors
"
who starred in The Benchwarmers?,"movie_to_actors
"
who acted in the movie Stand-In?,"movie_to_actors
"
the movie The Ferryman starred who?,"movie_to_actors
"
who starred in The Violent Kind?,"movie_to_actors
"
who acted in Benji the Hunted?,"movie_to_actors
"
who starred in King Kong?,"movie_to_actors
"
the film Farinelli starred which actors?,"movie_to_actors
"
who starred in Lovers and Lollipops?,"movie_to_actors
"
who acted in Charlie Chan at the Circus?,"movie_to_actors
"
who acted in the movie Night of the Demons?,"movie_to_actors
"
who acted in the movie Pretty Maids All in a Row?,"movie_to_actors
"
who acted in the movie Runaway?,"movie_to_actors
"
who acted in Carefree?,"movie_to_actors
"
who are the actors in Into the White?,"movie_to_actors
"
who starred in West of Zanzibar?,"movie_to_actors
"
the film The Desert Rats starred which actors?,"movie_to_actors
"
the movie It Runs in the Family starred who?,"movie_to_actors
"
who acted in the movie All's Faire in Love?,"movie_to_actors
"
"the film Not with My Wife, You Don't! starred which actors?","movie_to_actors
"
the movie Cropsey starred who?,"movie_to_actors
"
the movie Another Stakeout starred who?,"movie_to_actors
"
who starred in 2-Headed Shark Attack?,"movie_to_actors
"
who stars in Xanadu?,"movie_to_actors
"
who acted in Such Good Friends?,"movie_to_actors
"
who stars in A Dangerous Profession?,"movie_to_actors
"
the movie Wives and Lovers starred who?,"movie_to_actors
"
the movie The Mouse on the Moon starred who?,"movie_to_actors
"
who acted in the movie Sholay?,"movie_to_actors
"
who stars in Two Women?,"movie_to_actors
"
